id	duration	bitrate	bitrate(video)	height	width	frame rate	frame rate(est.)	codec	category	url
NOMf-ThvDq4	130	75	49	176	144	12	12	mpeg4	Gaming	http://r3---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?ipbits=8&expire=1377909040&ms=au&sver=3&ip=86.50.94.176&upn=RvoAmT8vwFA&sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&fexp=923437%2C916904%2C918117%2C904837%2C914073%2C916626%2C919510%2C919118%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C906945%2C929933%2C920302%2C913428%2C920605%2C937003%2C919811%2C913563%2C904830%2C919373%2C930803%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C906001&algorithm=throttle-factor&burst=40&mv=m&cp=U0hWTFlLV19JSkNONl9RRUFBOnZqc2lOY3Zjb1dJ&id=34e31ff9386f0eae&mt=1377888632&source=youtube&itag=17&key=yt1&factor=1.25&signature=98556BC83516EDCA9D269E22F47A29290C4C2A2A.8776BD85BB556A6AE391B5504A6829DFCD613BDF&ratebypass=yes
veQAJ4qlltU	58	739	648	640	356	23.98	0	h264	Comedy	http://r3---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&mv=m&id=bde400278aa596d5&ms=au&factor=1.25&source=youtube&algorithm=throttle-factor&burst=40&sver=3&expire=1377911095&key=yt1&ip=86.50.94.176&mt=1377888724&fexp=916600%2C920604%2C926515%2C916626%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C906945%2C929933%2C920302%2C913428%2C920605%2C919811%2C913563%2C904830%2C919373%2C930803%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C906001&upn=2AY6Juuy4UU&cp=U0hWTFlMT19OT0NONl9RRlNBOkpHcFM3aTI3ejkx&itag=34&ipbits=8&signature=1EC108B1D13C6F4EDE7F5C232EB7B3CFF7BB50A6.C225DB57B6CA4E893E71F38779B7A221C8204357&ratebypass=yes
veQAJ4qlltU	58	723	500	640	356	23.98	23.98	vp8	Comedy	http://r3---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?sparams=cp%2Cid%2Cip%2Cipbits%2Citag%2Cratebypass%2Csource%2Cupn%2Cexpire&mv=m&ratebypass=yes&id=bde400278aa596d5&ms=au&mt=1377888724&source=youtube&sver=3&expire=1377911095&key=yt1&ip=86.50.94.176&fexp=916600%2C920604%2C926515%2C916626%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C906945%2C929933%2C920302%2C913428%2C920605%2C919811%2C913563%2C904830%2C919373%2C930803%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C906001&upn=2AY6Juuy4UU&cp=U0hWTFlMT19OT0NONl9RRlNBOkpHcFM3aTI3ejkx&itag=43&ipbits=8&signature=695AE8FD5896A6709C9ACB20798A2EE9F7ECD054.44DB61F04F4D68A6F8287BFBE0BD4D8800565322
veQAJ4qlltU	58	327	261	320	178	23.98	23.98	flv1	Comedy	http://r3---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&mv=m&id=bde400278aa596d5&ms=au&factor=1.25&source=youtube&algorithm=throttle-factor&burst=40&sver=3&expire=1377911095&key=yt1&ip=86.50.94.176&mt=1377888724&fexp=916600%2C920604%2C926515%2C916626%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C906945%2C929933%2C920302%2C913428%2C920605%2C919811%2C913563%2C904830%2C919373%2C930803%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C906001&upn=2AY6Juuy4UU&cp=U0hWTFlMT19OT0NONl9RRlNBOkpHcFM3aTI3ejkx&itag=5&ipbits=8&signature=B36DE1038D020BA1F6FBB7C2B51D1F7D73DE4DA1.ACFC967E8B1CCB01AB43BEE28220D8DC55217FD6&ratebypass=yes
veQAJ4qlltU	58	81	52	176	144	12	12	mpeg4	Comedy	http://r3---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&mv=m&id=bde400278aa596d5&ms=au&factor=1.25&source=youtube&algorithm=throttle-factor&burst=40&sver=3&expire=1377911095&key=yt1&ip=86.50.94.176&mt=1377888724&fexp=916600%2C920604%2C926515%2C916626%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C906945%2C929933%2C920302%2C913428%2C920605%2C919811%2C913563%2C904830%2C919373%2C930803%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C906001&upn=2AY6Juuy4UU&cp=U0hWTFlMT19OT0NONl9RRlNBOkpHcFM3aTI3ejkx&itag=17&ipbits=8&signature=49C79AD5DC5E537F8FC6263526F5CE451B590D3A.25BC0896762CF0F2115671FA47D56F80ABC47707&ratebypass=yes
vVbI-pvRMw8	28	310	177	640	480	15	0	h264	Film & Animation	http://r3---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?key=yt1&ip=86.50.94.176&sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&upn=mZawvLrX1y4&cp=U0hWTFlMT19LTENONl9RRlNFOlVmUHV2U3RLR2RP&itag=35&sver=3&mt=1377888724&mv=m&id=bd56c8fa9bd1330f&ms=au&factor=1.25&source=youtube&fexp=900161%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C906945%2C929933%2C920302%2C906842%2C927704%2C913428%2C919811%2C913563%2C904830%2C919373%2C930803%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C912714%2C906001&expire=1377911462&algorithm=throttle-factor&burst=40&ipbits=8&signature=7C70AF8425D6A9F7D4BA34D1079648F5F8783DD3.59BEA6C429B8C98802518CC275EEABD5415B4A76&ratebypass=yes
vVbI-pvRMw8	28	239	177	640	480	15	0	vp8	Film & Animation	http://r3---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?key=yt1&ip=86.50.94.176&sparams=cp%2Cid%2Cip%2Cipbits%2Citag%2Cratebypass%2Csource%2Cupn%2Cexpire&upn=mZawvLrX1y4&cp=U0hWTFlMT19LTENONl9RRlNFOlVmUHV2U3RLR2RP&itag=44&mt=1377888724&mv=m&ratebypass=yes&id=bd56c8fa9bd1330f&ms=au&source=youtube&fexp=900161%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C906945%2C929933%2C920302%2C906842%2C927704%2C913428%2C919811%2C913563%2C904830%2C919373%2C930803%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C912714%2C906001&expire=1377911462&sver=3&ipbits=8&signature=97E12B971235BE5FD5E9216B86EDB37AF3E975BC.32893987FB796B1E2DF539A5810047289A22F3CF
vVbI-pvRMw8	28	271	137	480	360	15	0	h264	Film & Animation	http://r3---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?key=yt1&ip=86.50.94.176&sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&upn=mZawvLrX1y4&cp=U0hWTFlMT19LTENONl9RRlNFOlVmUHV2U3RLR2RP&itag=34&sver=3&mt=1377888724&mv=m&id=bd56c8fa9bd1330f&ms=au&factor=1.25&source=youtube&fexp=900161%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C906945%2C929933%2C920302%2C906842%2C927704%2C913428%2C919811%2C913563%2C904830%2C919373%2C930803%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C912714%2C906001&expire=1377911462&algorithm=throttle-factor&burst=40&ipbits=8&signature=956402CDDB5DF703AF10C28C6E9E1B4F2DAA3EC2.0721BA41E7A545E0F0C6B32D67039F2994B83700&ratebypass=yes
vVbI-pvRMw8	28	241	142	480	360	15	15	h264	Film & Animation	http://r3---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?key=yt1&ip=86.50.94.176&sparams=cp%2Cid%2Cip%2Cipbits%2Citag%2Cratebypass%2Csource%2Cupn%2Cexpire&upn=mZawvLrX1y4&cp=U0hWTFlMT19LTENONl9RRlNFOlVmUHV2U3RLR2RP&itag=18&mt=1377888724&mv=m&ratebypass=yes&id=bd56c8fa9bd1330f&ms=au&source=youtube&fexp=900161%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C906945%2C929933%2C920302%2C906842%2C927704%2C913428%2C919811%2C913563%2C904830%2C919373%2C930803%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C912714%2C906001&expire=1377911462&sver=3&ipbits=8&signature=4ECE8FE4B95C713FFA103BD17B6784F515BAE53A.2F2850E35E1D2FA8021D97FE281C73CF949D119C
vVbI-pvRMw8	28	203	142	480	360	15	15	vp8	Film & Animation	http://r3---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?key=yt1&ip=86.50.94.176&sparams=cp%2Cid%2Cip%2Cipbits%2Citag%2Cratebypass%2Csource%2Cupn%2Cexpire&upn=mZawvLrX1y4&cp=U0hWTFlMT19LTENONl9RRlNFOlVmUHV2U3RLR2RP&itag=43&mt=1377888724&mv=m&ratebypass=yes&id=bd56c8fa9bd1330f&ms=au&source=youtube&fexp=900161%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C906945%2C929933%2C920302%2C906842%2C927704%2C913428%2C919811%2C913563%2C904830%2C919373%2C930803%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C912714%2C906001&expire=1377911462&sver=3&ipbits=8&signature=1A8E49C06E665F9233A56F623FE956F7A16CAE6E.27AB0740C92299C26C46C9B64E1B7B2F37D2DF6E
vVbI-pvRMw8	28	252	185	320	240	15	15	flv1	Film & Animation	http://r3---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?key=yt1&ip=86.50.94.176&sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&upn=mZawvLrX1y4&cp=U0hWTFlMT19LTENONl9RRlNFOlVmUHV2U3RLR2RP&itag=5&sver=3&mt=1377888724&mv=m&id=bd56c8fa9bd1330f&ms=au&factor=1.25&source=youtube&fexp=900161%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C906945%2C929933%2C920302%2C906842%2C927704%2C913428%2C919811%2C913563%2C904830%2C919373%2C930803%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C912714%2C906001&expire=1377911462&algorithm=throttle-factor&burst=40&ipbits=8&signature=666FC275A98B5369AF0A03E090A2916E24A397E6.A22C631E9278C7AC933DE76901B8749E771B7213&ratebypass=yes
vVbI-pvRMw8	28	94	68	176	144	12	12	mpeg4	Film & Animation	http://r3---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?key=yt1&ip=86.50.94.176&sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&upn=mZawvLrX1y4&cp=U0hWTFlMT19LTENONl9RRlNFOlVmUHV2U3RLR2RP&itag=17&sver=3&mt=1377888724&mv=m&id=bd56c8fa9bd1330f&ms=au&factor=1.25&source=youtube&fexp=900161%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C906945%2C929933%2C920302%2C906842%2C927704%2C913428%2C919811%2C913563%2C904830%2C919373%2C930803%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C912714%2C906001&expire=1377911462&algorithm=throttle-factor&burst=40&ipbits=8&signature=5CB9945F68BA6EC8FBB0C02ED89AA19D075C8079.83E48C2FABFB562372CC32EE43F9FEF321467E51&ratebypass=yes
veQAJ4qlltU	58	609	500	480	266	23.98	23.98	h264	Comedy	http://r3---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?sparams=cp%2Cid%2Cip%2Cipbits%2Citag%2Cratebypass%2Csource%2Cupn%2Cexpire&mv=m&ratebypass=yes&id=bde400278aa596d5&ms=au&mt=1377888724&source=youtube&sver=3&expire=1377911095&key=yt1&ip=86.50.94.176&fexp=916600%2C920604%2C926515%2C916626%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C906945%2C929933%2C920302%2C913428%2C920605%2C919811%2C913563%2C904830%2C919373%2C930803%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C906001&upn=2AY6Juuy4UU&cp=U0hWTFlMT19OT0NONl9RRlNBOkpHcFM3aTI3ejkx&itag=18&ipbits=8&signature=717271E5748760CF5D13C9C2D29CB8562C4855C9.A29F3FB55E45124CD50445A35AC7EE29D036ED19
_Vfi-nip7d4	77	935	816	640	360	29.97	0	h264	Sports	http://r2---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?upn=NOT2uPBsyjs&algorithm=throttle-factor&key=yt1&ip=86.50.94.176&factor=1.25&ipbits=8&sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&burst=40&ms=au&id=fd57e2fa78a9edde&itag=34&mt=1377888724&expire=1377910812&sver=3&cp=U0hWTFlMTl9GTENONl9RRlJJOktoZGhUc1FRei1t&source=youtube&fexp=935607%2C916904%2C911417%2C932224%2C915111%2C916611%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C906945%2C929933%2C920302%2C906842%2C913428%2C920605%2C919811%2C913563%2C904830%2C919373%2C930803%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C906001&mv=m&signature=1CC4060832FC198C14CD088E2BAE25285A0C49A4.852AF321A1BD373A15B8B95D248B8D514E710EB4&ratebypass=yes
_Vfi-nip7d4	77	739	640	640	360	29.97	29.97	h264	Sports	http://r2---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?upn=NOT2uPBsyjs&key=yt1&ip=86.50.94.176&ratebypass=yes&ipbits=8&sparams=cp%2Cid%2Cip%2Cipbits%2Citag%2Cratebypass%2Csource%2Cupn%2Cexpire&source=youtube&ms=au&id=fd57e2fa78a9edde&itag=18&mt=1377888724&expire=1377910812&sver=3&cp=U0hWTFlMTl9GTENONl9RRlJJOktoZGhUc1FRei1t&fexp=935607%2C916904%2C911417%2C932224%2C915111%2C916611%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C906945%2C929933%2C920302%2C906842%2C913428%2C920605%2C919811%2C913563%2C904830%2C919373%2C930803%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C906001&mv=m&signature=BBB960CA595A9290657E8E5FF7B1F9DCC45CEF4B.C13BC2555C265825F7610E7341D7DE5E61F76800
_Vfi-nip7d4	77	825	640	640	360	29.97	29.97	vp8	Sports	http://r2---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?upn=NOT2uPBsyjs&key=yt1&ip=86.50.94.176&ratebypass=yes&ipbits=8&sparams=cp%2Cid%2Cip%2Cipbits%2Citag%2Cratebypass%2Csource%2Cupn%2Cexpire&source=youtube&ms=au&id=fd57e2fa78a9edde&itag=43&mt=1377888724&expire=1377910812&sver=3&cp=U0hWTFlMTl9GTENONl9RRlJJOktoZGhUc1FRei1t&fexp=935607%2C916904%2C911417%2C932224%2C915111%2C916611%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C906945%2C929933%2C920302%2C906842%2C913428%2C920605%2C919811%2C913563%2C904830%2C919373%2C930803%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C906001&mv=m&signature=D7C99FCD6D86A0A561D8354DD27F3C85B1714C70.AB52F13D3E1BDC7F65BD4E38E7893267BB9F0A3B
_Vfi-nip7d4	77	396	331	426	240	29.97	29.97	flv1	Sports	http://r2---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?upn=NOT2uPBsyjs&algorithm=throttle-factor&key=yt1&ip=86.50.94.176&factor=1.25&ipbits=8&sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&burst=40&ms=au&id=fd57e2fa78a9edde&itag=5&mt=1377888724&expire=1377910812&sver=3&cp=U0hWTFlMTl9GTENONl9RRlJJOktoZGhUc1FRei1t&source=youtube&fexp=935607%2C916904%2C911417%2C932224%2C915111%2C916611%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C906945%2C929933%2C920302%2C906842%2C913428%2C920605%2C919811%2C913563%2C904830%2C919373%2C930803%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C906001&mv=m&signature=955DFF92EAF0D582538C501AA70A86B131D14687.47763DA2E669E041289129A0D7DBB0C7B152B9D1&ratebypass=yes
_Vfi-nip7d4	77	77	52	176	144	12	12	mpeg4	Sports	http://r2---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?upn=NOT2uPBsyjs&algorithm=throttle-factor&key=yt1&ip=86.50.94.176&factor=1.25&ipbits=8&sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&burst=40&ms=au&id=fd57e2fa78a9edde&itag=17&mt=1377888724&expire=1377910812&sver=3&cp=U0hWTFlMTl9GTENONl9RRlJJOktoZGhUc1FRei1t&source=youtube&fexp=935607%2C916904%2C911417%2C932224%2C915111%2C916611%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C906945%2C929933%2C920302%2C906842%2C913428%2C920605%2C919811%2C913563%2C904830%2C919373%2C930803%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C906001&mv=m&signature=747CABB29786AC8DA2FA1811CDE4A0FD6186D0C5.9B1A28C41B9631E6ADA9A60C70889B125AFD01CE&ratebypass=yes
#NAME?	38	433	355	360	480	30	0	h264	Comedy	http://r4---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?mt=1377888724&mv=m&source=youtube&ms=au&fexp=939801%2C905701%2C911424%2C932243%2C900392%2C916624%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C929933%2C920302%2C913428%2C919811%2C913563%2C904830%2C919373%2C930803%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900394%2C900375%2C906001&sver=3&factor=1.25&algorithm=throttle-factor&ip=86.50.94.176&itag=35&expire=1377911474&sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&burst=40&cp=U0hWTFlMT19MTkNONl9RRlNFOkJQeDJrNVVaR1FN&ipbits=8&upn=YQWQb4jw71w&key=yt1&id=fb25ca7be4200d23&signature=D4399415A8D2C941A046EB9D247608892E90401A.35191FD4ADD7E6C6933945FE97DA46BAD8E8BD64&ratebypass=yes
#NAME?	38	573	355	360	480	30	0	vp8	Comedy	http://r4---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?mv=m&source=youtube&ms=au&fexp=939801%2C905701%2C911424%2C932243%2C900392%2C916624%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C929933%2C920302%2C913428%2C919811%2C913563%2C904830%2C919373%2C930803%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900394%2C900375%2C906001&sver=3&key=yt1&ip=86.50.94.176&itag=44&expire=1377911474&sparams=cp%2Cid%2Cip%2Cipbits%2Citag%2Cratebypass%2Csource%2Cupn%2Cexpire&mt=1377888724&cp=U0hWTFlMT19MTkNONl9RRlNFOkJQeDJrNVVaR1FN&ipbits=8&upn=YQWQb4jw71w&ratebypass=yes&id=fb25ca7be4200d23&signature=75B2282F29A82A5F22BED40473B9C9F5B296DBA1.0F93748A65AECDACC82804B4E28515C91DB2701B
#NAME?	38	381	302	270	360	30	0	h264	Comedy	http://r4---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?mt=1377888724&mv=m&source=youtube&ms=au&fexp=939801%2C905701%2C911424%2C932243%2C900392%2C916624%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C929933%2C920302%2C913428%2C919811%2C913563%2C904830%2C919373%2C930803%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900394%2C900375%2C906001&sver=3&factor=1.25&algorithm=throttle-factor&ip=86.50.94.176&itag=34&expire=1377911474&sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&burst=40&cp=U0hWTFlMT19MTkNONl9RRlNFOkJQeDJrNVVaR1FN&ipbits=8&upn=YQWQb4jw71w&key=yt1&id=fb25ca7be4200d23&signature=515B639CD7B2316E182EADC2E182F7AA8F499FE7.2E54C2528C2AD0A691D080B1124F58F755F6A59C&ratebypass=yes
#NAME?	38	336	260	270	360	30	30	h264	Comedy	http://r4---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?mv=m&source=youtube&ms=au&fexp=939801%2C905701%2C911424%2C932243%2C900392%2C916624%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C929933%2C920302%2C913428%2C919811%2C913563%2C904830%2C919373%2C930803%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900394%2C900375%2C906001&sver=3&key=yt1&ip=86.50.94.176&itag=18&expire=1377911474&sparams=cp%2Cid%2Cip%2Cipbits%2Citag%2Cratebypass%2Csource%2Cupn%2Cexpire&mt=1377888724&cp=U0hWTFlMT19MTkNONl9RRlNFOkJQeDJrNVVaR1FN&ipbits=8&upn=YQWQb4jw71w&ratebypass=yes&id=fb25ca7be4200d23&signature=13E6FD6DEF2C133C50AF0FCCEF7FF7021E0E635F.2B60DEBF162B4414853589A2E431962BF77B8555
#NAME?	38	405	260	270	360	30	30	vp8	Comedy	http://r4---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?mv=m&source=youtube&ms=au&fexp=939801%2C905701%2C911424%2C932243%2C900392%2C916624%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C929933%2C920302%2C913428%2C919811%2C913563%2C904830%2C919373%2C930803%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900394%2C900375%2C906001&sver=3&key=yt1&ip=86.50.94.176&itag=43&expire=1377911474&sparams=cp%2Cid%2Cip%2Cipbits%2Citag%2Cratebypass%2Csource%2Cupn%2Cexpire&mt=1377888724&cp=U0hWTFlMT19MTkNONl9RRlNFOkJQeDJrNVVaR1FN&ipbits=8&upn=YQWQb4jw71w&ratebypass=yes&id=fb25ca7be4200d23&signature=AE3A7CB3798595C9FB1FE48878301109343D4D98.437C433FA85BA68A28EB7215CB5807E1ACDB4010
#NAME?	38	344	277	180	240	30	30	flv1	Comedy	http://r4---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?mt=1377888724&mv=m&source=youtube&ms=au&fexp=939801%2C905701%2C911424%2C932243%2C900392%2C916624%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C929933%2C920302%2C913428%2C919811%2C913563%2C904830%2C919373%2C930803%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900394%2C900375%2C906001&sver=3&factor=1.25&algorithm=throttle-factor&ip=86.50.94.176&itag=5&expire=1377911474&sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&burst=40&cp=U0hWTFlMT19MTkNONl9RRlNFOkJQeDJrNVVaR1FN&ipbits=8&upn=YQWQb4jw71w&key=yt1&id=fb25ca7be4200d23&signature=5D032129CA521054B5FD1C160BB7796BED13B2DF.0304FB0409E1D86108A5AEFB195D8B231BF597AF&ratebypass=yes
#NAME?	38	78	52	176	144	12	12	mpeg4	Comedy	http://r4---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?mt=1377888724&mv=m&source=youtube&ms=au&fexp=939801%2C905701%2C911424%2C932243%2C900392%2C916624%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C929933%2C920302%2C913428%2C919811%2C913563%2C904830%2C919373%2C930803%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900394%2C900375%2C906001&sver=3&factor=1.25&algorithm=throttle-factor&ip=86.50.94.176&itag=17&expire=1377911474&sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&burst=40&cp=U0hWTFlMT19MTkNONl9RRlNFOkJQeDJrNVVaR1FN&ipbits=8&upn=YQWQb4jw71w&key=yt1&id=fb25ca7be4200d23&signature=2206D8EF58BE519EAA31B62A82EC84E5F2D3F186.44BA2C417F970024F8F43CD1336939ACAE25DF10&ratebypass=yes
